Diddy - Dirty Money - Coming Home ft. Skylar Grey (Official Video),https://www.youtube.com/watch?v=k-ImCpNqbJw,True
[Drumstep] - Tristam & Braken - Flight [Monstercat Release],https://www.youtube.com/watch?v=OVMuwa-HRCQ,True
Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),https://www.youtube.com/watch?v=fiore9Z5iUg,True
Flux Pavilion - I Can't Stop,https://www.youtube.com/watch?v=3Q9rewnLFYw,True
Elina Born - Miss Calculation (Official),https://www.youtube.com/watch?v=PxyLimYtxoU,True
Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,https://www.youtube.com/watch?v=SYM-RJwSGQ8,True
KDrew - Bullseye [100BPM],https://www.youtube.com/watch?v=kqjKOL0N8ks,True
Meg & Dia - Monster (DotEXE Dubstep Remix),https://www.youtube.com/watch?v=-0oZNWif_jk,True
Different Heaven & EH!DE - My Heart [NCS Release],https://www.youtube.com/watch?v=jK2aIUmmdP4,True
KDrew - Circles (Original Mix),https://www.youtube.com/watch?v=L2NhfzcVmBA,True
"Ariana Grande, The Weeknd - Love Me Harder (Official Video)",https://www.youtube.com/watch?v=g5qU7p7yOY8,True
Ariana Grande ft. Iggy Azalea - Problem (Official Video),https://www.youtube.com/watch?v=iS1g8G_njx8,True
Ellie Goulding - Burn (Official Video),https://www.youtube.com/watch?v=CGyEd0aKWZE,True
Katy Perry - This Is How We Do (Official),https://www.youtube.com/watch?v=7RMQksXpQSk,True
Katy Perry - Teenage Dream (Official Music Video),https://www.youtube.com/watch?v=98WtmW-lfeE,True
Demi Lovato - Heart Attack (Official Video),https://www.youtube.com/watch?v=AByfaYcOm4A,True
Taylor Swift - I Knew You Were Trouble,https://www.youtube.com/watch?v=vNoKguSdy4Y,True
James Arthur - Impossible (Official Video),https://www.youtube.com/watch?v=Mhj15W23IjA,True
Cash Cash - Overtime,https://www.youtube.com/watch?v=85ftfVUTzM4,True
Charli XCX - Break The Rules [Official Video],https://www.youtube.com/watch?v=ABhDiXbUaBE,True
Ellie Goulding - Love Me Like You Do (Official Video),https://www.youtube.com/watch?v=AJtDXIazrMo,True
Galantis - Runaway (U & I) [Premiere],https://www.youtube.com/watch?v=szj59j0hz_4,True
Lost Frequencies feat. Janieck Devy - Reality (Official Music Video),https://www.youtube.com/watch?v=ilw-qmqZ5zY,True
Madcon – Don’t Worry feat. Ray Dalton [Official Lyric Video],https://www.youtube.com/watch?v=qlPx6tmAIlM,True
Dzeko & Torres ft. Delaney Jane - L'Amour Toujours (Tiësto Edit) [OUT NOW],https://www.youtube.com/watch?v=hY5way9lsTQ,True
L'Amour Toujour [Techno Remix],https://www.youtube.com/watch?v=3xXzLsr1j4E,True
Macklemore - And We Danced (HQ),https://www.youtube.com/watch?v=4zLOoPOvyHU,True
Dr. Kucho! & Gregor Salto ft. Ane Brun - Can't Stop Playing (Makes Me High) [Oliver Heldens Remix],https://www.youtube.com/watch?v=KSrOYPQiyFA,True
VINAI - The Wave ft. Harrison (Official Video),https://www.youtube.com/watch?v=pJXOZWFnBfo,True
ItaloBrothers - Sleep When Were Dead  (Extended Mix),https://www.youtube.com/watch?v=d3AFnht_rww,True
Foxes - Body Talk (Bakermat Remix) (Audio),https://www.youtube.com/watch?v=YQbM0bvoFhw,True
SEREBRO - KISS,https://www.youtube.com/watch?v=LwpJjYxl3Gw,True
Anna Naklab feat. Alle Farben & YouNotUs - Supergirl [Official Video],https://www.youtube.com/watch?v=31tiWX-8bdc,True
